https://www.random.org/integers/?num=190&min=1&max=100&col=1&base=10&format=plain&rnd=date.2021-02-18
66,9,37,52,4,28,25,69,3,1,49,89,52,61,37,98,36,77,2,12,11,98,27,96,75,66,40,84,77,25,44,61,68,55,84,2,88,16,6,57,70,77,91,51,19,38,19,63,11,68,55,63,16,11,57,87,26,49,18,77,20,62,25,73,92,36,44,45,47,99,54,95,73,46,71,56,54,27,32,41,19,55,27,65,33,14,22,92,85,43,46,76,65,87,78,21,40,93,99,51,96,85,93,23,87,12,66,49,69,90,9,10,46,92,27,18,95,42,99,34,87,58,71,16,53,13,37,71,67,99,35,41,63,23,35,99,31,30,48,34,81,94,33,13,80,10,27,99,32,20,27,100,26,12,67,78,92,39,21,91,21,20,22,43,33,43,64,33,45,30,60,25,12,42,12,100,43,8,17,73,65,5,54,22,23,23,33,54,30,23

1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,66,9,37,52,4,28,25,69,3,1,49,89,52,61,37,98,36,77,2
66,0,12,11,98,27,96,75,66,40,84,77,25,44,61,68,55,84,2,88
9,12,0,16,6,57,70,77,91,51,19,38,19,63,11,68,55,63,16,11
37,11,16,0,57,87,26,49,18,77,20,62,25,73,92,36,44,45,47,99
52,98,6,57,0,54,95,73,46,71,56,54,27,32,41,19,55,27,65,33
4,27,57,87,54,0,14,22,92,85,43,46,76,65,87,78,21,40,93,99
28,96,70,26,95,14,0,51,96,85,93,23,87,12,66,49,69,90,9,10
25,75,77,49,73,22,51,0,46,92,27,18,95,42,99,34,87,58,71,16
69,66,91,18,46,92,96,46,0,53,13,37,71,67,99,35,41,63,23,35
3,40,51,77,71,85,85,92,53,0,99,31,30,48,34,81,94,33,13,80
1,84,19,20,56,43,93,27,13,99,0,10,27,99,32,20,27,100,26,12
49,77,38,62,54,46,23,18,37,31,10,0,67,78,92,39,21,91,21,20
89,25,19,25,27,76,87,95,71,30,27,67,0,22,43,33,43,64,33,45
52,44,63,73,32,65,12,42,67,48,99,78,22,0,30,60,25,12,42,12
61,61,11,92,41,87,66,99,99,34,32,92,43,30,0,100,43,8,17,73
37,68,68,36,19,78,49,34,35,81,20,39,33,60,100,0,65,5,54,22
98,55,55,44,55,21,69,87,41,94,27,21,43,25,43,65,0,23,23,33
36,84,63,45,27,40,90,58,63,33,100,91,64,12,8,5,23,0,54,30
77,2,16,47,65,93,9,71,23,13,26,21,33,42,17,54,23,54,0,23
2,88,11,99,33,99,10,16,35,80,12,20,45,12,73,22,33,30,23,0
