https://www.random.org/integers/?num=190&min=1&max=10000&col=1&base=10&format=plain&rnd=date.2021-02-18
8329,4660,507,257,6589,9730,1419,8360,3116,7748,6996,216,2030,8909,6419,4755,7947,8631,8054,1931,7255,3315,6250,2289,9856,7833,9308,4599,5549,5831,7163,6811,4009,2359,3393,4110,2780,9665,2600,2903,1474,6270,8794,1034,5852,3346,8976,6669,4679,8547,4393,7959,4451,3820,4305,1616,1179,2459,3212,8526,2688,2580,2731,4139,8097,5662,7654,3084,1508,5384,2121,8294,566,2711,2849,6886,3735,8217,7274,2953,4551,6062,8774,7439,8222,4058,1562,8946,2784,1721,516,991,3876,8136,8490,8455,1517,3158,8973,2243,9582,8043,9899,9551,1730,4798,9954,7831,1664,6963,6760,6313,9810,4139,1869,392,874,1911,4047,8089,7114,6318,2970,6309,6210,444,703,6797,4157,9205,4204,9076,8262,213,5158,3271,8058,2886,6310,6465,5049,992,558,3262,2562,8195,9031,5810,1990,6556,6141,8333,2874,8801,21,1204,2609,6618,1466,1414,7624,8041,2582,1640,4811,358,9380,13,9901,7202,1125,1526,3093,9041,7295,4058,152,3141,4192,8379,3989,5035,5049,9862,353,4615,5356,7036,5335,8737

1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,8329,4660,507,257,6589,9730,1419,8360,3116,7748,6996,216,2030,8909,6419,4755,7947,8631,8054
8329,0,1931,7255,3315,6250,2289,9856,7833,9308,4599,5549,5831,7163,6811,4009,2359,3393,4110,2780
4660,1931,0,9665,2600,2903,1474,6270,8794,1034,5852,3346,8976,6669,4679,8547,4393,7959,4451,3820
507,7255,9665,0,4305,1616,1179,2459,3212,8526,2688,2580,2731,4139,8097,5662,7654,3084,1508,5384
257,3315,2600,4305,0,2121,8294,566,2711,2849,6886,3735,8217,7274,2953,4551,6062,8774,7439,8222
6589,6250,2903,1616,2121,0,4058,1562,8946,2784,1721,516,991,3876,8136,8490,8455,1517,3158,8973
9730,2289,1474,1179,8294,4058,0,2243,9582,8043,9899,9551,1730,4798,9954,7831,1664,6963,6760,6313
1419,9856,6270,2459,566,1562,2243,0,9810,4139,1869,392,874,1911,4047,8089,7114,6318,2970,6309
8360,7833,8794,3212,2711,8946,9582,9810,0,6210,444,703,6797,4157,9205,4204,9076,8262,213,5158
3116,9308,1034,8526,2849,2784,8043,4139,6210,0,3271,8058,2886,6310,6465,5049,992,558,3262,2562
7748,4599,5852,2688,6886,1721,9899,1869,444,3271,0,8195,9031,5810,1990,6556,6141,8333,2874,8801
6996,5549,3346,2580,3735,516,9551,392,703,8058,8195,0,21,1204,2609,6618,1466,1414,7624,8041
216,5831,8976,2731,8217,991,1730,874,6797,2886,9031,21,0,2582,1640,4811,358,9380,13,9901
2030,7163,6669,4139,7274,3876,4798,1911,4157,6310,5810,1204,2582,0,7202,1125,1526,3093,9041,7295
8909,6811,4679,8097,2953,8136,9954,4047,9205,6465,1990,2609,1640,7202,0,4058,152,3141,4192,8379
6419,4009,8547,5662,4551,8490,7831,8089,4204,5049,6556,6618,4811,1125,4058,0,3989,5035,5049,9862
4755,2359,4393,7654,6062,8455,1664,7114,9076,992,6141,1466,358,1526,152,3989,0,353,4615,5356
7947,3393,7959,3084,8774,1517,6963,6318,8262,558,8333,1414,9380,3093,3141,5035,353,0,7036,5335
8631,4110,4451,1508,7439,3158,6760,2970,213,3262,2874,7624,13,9041,4192,5049,4615,7036,0,8737
8054,2780,3820,5384,8222,8973,6313,6309,5158,2562,8801,8041,9901,7295,8379,9862,5356,5335,8737,0
