Best Solution Found: (1824)
01 06 05 31 34 39 15 14 35 13 09 04 29 02 30 08 03 18 19 27 40 10 16 23 36 41 46 20 37 50 45 11 28 21 49 47 43 38 26 33 48 17 42 07 32 44 22 25 24 12 01

01 06 = 8
06 05 = 62
05 31 = 21
31 34 = 42
34 39 = 18
39 15 = 52
15 14 = 10
14 35 = 127
35 13 = 34
13 09 = 1
09 04 = 12
04 29 = 106
29 02 = 17
02 30 = 53
30 08 = 6
08 03 = 10
03 18 = 50
18 19 = 101
19 27 = 31
27 40 = 2
40 10 = 13
10 16 = 82
16 23 = 6
23 36 = 56
36 41 = 69
41 46 = 3
46 20 = 21
20 37 = 50
37 50 = 51
50 45 = 83
45 11 = 33
11 28 = 26
28 21 = 54
21 49 = 4
49 47 = 12
47 43 = 12
43 38 = 6
38 26 = 6
26 33 = 7
33 48 = 68
48 17 = 34
17 42 = 40
42 07 = 55
07 32 = 28
32 44 = 3
44 22 = 50
22 25 = 57
25 24 = 39
24 12 = 28
12 01 = 65
