https://www.random.org/integers/?num=435&min=1&max=10000&col=1&base=10&format=plain&rnd=date.2021-02-18
8329,4660,507,257,6589,9730,1419,8360,3116,7748,6996,216,2030,8909,6419,4755,7947,8631,8054,1931,7255,3315,6250,2289,9856,7833,9308,4599,5549,5831,7163,6811,4009,2359,3393,4110,2780,9665,2600,2903,1474,6270,8794,1034,5852,3346,8976,6669,4679,8547,4393,7959,4451,3820,4305,1616,1179,2459,3212,8526,2688,2580,2731,4139,8097,5662,7654,3084,1508,5384,2121,8294,566,2711,2849,6886,3735,8217,7274,2953,4551,6062,8774,7439,8222,4058,1562,8946,2784,1721,516,991,3876,8136,8490,8455,1517,3158,8973,2243,9582,8043,9899,9551,1730,4798,9954,7831,1664,6963,6760,6313,9810,4139,1869,392,874,1911,4047,8089,7114,6318,2970,6309,6210,444,703,6797,4157,9205,4204,9076,8262,213,5158,3271,8058,2886,6310,6465,5049,992,558,3262,2562,8195,9031,5810,1990,6556,6141,8333,2874,8801,21,1204,2609,6618,1466,1414,7624,8041,2582,1640,4811,358,9380,13,9901,7202,1125,1526,3093,9041,7295,4058,152,3141,4192,8379,3989,5035,5049,9862,353,4615,5356,7036,5335,8737,9910,2227,4044,4179,8599,3995,5882,3592,3495,9876,9206,395,3569,2732,4615,668,7394,4930,6444,1677,3071,428,4791,5874,3798,1545,7078,1442,1318,4374,5902,6601,3304,2922,8167,875,9555,3976,7127,9812,7914,3078,4851,5188,7224,9471,9874,8460,1961,1596,6002,1738,5300,9587,2782,588,5168,536,3815,5774,6573,7260,131,9236,4945,337,7401,5283,9389,9164,7728,368,1938,757,943,1312,7512,2710,943,5848,8991,7872,7098,9577,4865,3967,5161,8195,3307,4079,8697,1064,8717,8723,830,7346,2742,7147,4008,8054,326,6071,9953,4248,8019,7345,4091,8035,3594,8076,9488,5143,5793,5884,7577,6150,1248,256,7078,3841,4778,4352,9866,8113,2532,2117,4323,1606,499,1033,3483,9865,7490,3442,73,926,1184,987,248,7331,9209,8601,9470,6757,1998,1517,3754,6970,9615,1747,3938,6749,4568,7545,9583,9799,7460,8700,7701,3189,5539,6789,1045,4484,3680,5068,6952,4781,214,1825,6445,8370,9100,6386,6435,7790,4847,8208,7793,902,4126,4670,9918,4953,9878,196,1548,2793,8921,6541,4932,6137,9778,7241,6494,5602,224,4893,1754,8367,9319,4827,6750,9818,5497,9536,2100,1126,6240,4503,4023,2362,3577,2864,876,2537,3098,7869,6708,4560,4418,4738,1882,8262,8774,2328,8653,9090,8196,7890,2935,6335,2930,8337,1359,7193,6095,8870,9089,8729,295,8701,4527,7092,3509

1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,8329,4660,507,257,6589,9730,1419,8360,3116,7748,6996,216,2030,8909,6419,4755,7947,8631,8054,1931,7255,3315,6250,2289,9856,7833,9308,4599,5549
8329,0,5831,7163,6811,4009,2359,3393,4110,2780,9665,2600,2903,1474,6270,8794,1034,5852,3346,8976,6669,4679,8547,4393,7959,4451,3820,4305,1616,1179
4660,5831,0,2459,3212,8526,2688,2580,2731,4139,8097,5662,7654,3084,1508,5384,2121,8294,566,2711,2849,6886,3735,8217,7274,2953,4551,6062,8774,7439
507,7163,2459,0,8222,4058,1562,8946,2784,1721,516,991,3876,8136,8490,8455,1517,3158,8973,2243,9582,8043,9899,9551,1730,4798,9954,7831,1664,6963
257,6811,3212,8222,0,6760,6313,9810,4139,1869,392,874,1911,4047,8089,7114,6318,2970,6309,6210,444,703,6797,4157,9205,4204,9076,8262,213,5158
6589,4009,8526,4058,6760,0,3271,8058,2886,6310,6465,5049,992,558,3262,2562,8195,9031,5810,1990,6556,6141,8333,2874,8801,21,1204,2609,6618,1466
9730,2359,2688,1562,6313,3271,0,1414,7624,8041,2582,1640,4811,358,9380,13,9901,7202,1125,1526,3093,9041,7295,4058,152,3141,4192,8379,3989,5035
1419,3393,2580,8946,9810,8058,1414,0,5049,9862,353,4615,5356,7036,5335,8737,9910,2227,4044,4179,8599,3995,5882,3592,3495,9876,9206,395,3569,2732
8360,4110,2731,2784,4139,2886,7624,5049,0,4615,668,7394,4930,6444,1677,3071,428,4791,5874,3798,1545,7078,1442,1318,4374,5902,6601,3304,2922,8167
3116,2780,4139,1721,1869,6310,8041,9862,4615,0,875,9555,3976,7127,9812,7914,3078,4851,5188,7224,9471,9874,8460,1961,1596,6002,1738,5300,9587,2782
7748,9665,8097,516,392,6465,2582,353,668,875,0,588,5168,536,3815,5774,6573,7260,131,9236,4945,337,7401,5283,9389,9164,7728,368,1938,757
6996,2600,5662,991,874,5049,1640,4615,7394,9555,588,0,943,1312,7512,2710,943,5848,8991,7872,7098,9577,4865,3967,5161,8195,3307,4079,8697,1064
216,2903,7654,3876,1911,992,4811,5356,4930,3976,5168,943,0,8717,8723,830,7346,2742,7147,4008,8054,326,6071,9953,4248,8019,7345,4091,8035,3594
2030,1474,3084,8136,4047,558,358,7036,6444,7127,536,1312,8717,0,8076,9488,5143,5793,5884,7577,6150,1248,256,7078,3841,4778,4352,9866,8113,2532
8909,6270,1508,8490,8089,3262,9380,5335,1677,9812,3815,7512,8723,8076,0,2117,4323,1606,499,1033,3483,9865,7490,3442,73,926,1184,987,248,7331
6419,8794,5384,8455,7114,2562,13,8737,3071,7914,5774,2710,830,9488,2117,0,9209,8601,9470,6757,1998,1517,3754,6970,9615,1747,3938,6749,4568,7545
