https://www.random.org/integers/?num=45&min=1&max=1000&col=1&base=10&format=plain&rnd=date.2021-02-18
521,531,208,602,8,942,924,858,563,785,65,225,780,103,412,819,148,380,707,570,514,89,689,619,643,635,461,195,756,974,913,878,305,216,127,890,24,911,140,204,357,402,147,586,963

1,2,3,4,5,6,7,8,9,10
0,521,531,208,602,8,942,924,858,563
521,0,785,65,225,780,103,412,819,148
531,785,0,380,707,570,514,89,689,619
208,65,380,0,643,635,461,195,756,974
602,225,707,643,0,913,878,305,216,127
8,780,570,635,913,0,890,24,911,140
942,103,514,461,878,890,0,204,357,402
924,412,89,195,305,24,204,0,147,586
858,819,689,756,216,911,357,147,0,963
563,148,619,974,127,140,402,586,963,0
