Best Solution Found: (244)
01 06 16 04 36 07 13 32 03 38 08 39 19 14 22 10 09 35 40 24 33 05 37 20 34 25 28 23 27 30 31 17 02 12 29 21 15 26 18 11 01

01 06 = 4
06 16 = 9
16 04 = 13
04 36 = 10
36 07 = 6
07 13 = 4
13 32 = 1
32 03 = 12
03 38 = 10
38 08 = 4
08 39 = 8
39 19 = 7
19 14 = 2
14 22 = 1
22 10 = 2
10 09 = 7
09 35 = 4
35 40 = 7
40 24 = 8
24 33 = 3
33 05 = 8
05 37 = 5
37 20 = 5
20 34 = 6
34 25 = 5
25 28 = 11
28 23 = 3
23 27 = 2
27 30 = 3
30 31 = 13
31 17 = 6
17 02 = 11
02 12 = 11
12 29 = 1
29 21 = 12
21 15 = 6
15 26 = 7
26 18 = 4
18 11 = 2
11 01 = 1
